*Coincidence time resolution for g2 measuremnts: 3 2-folds
*TAB	38.378935	 +/- 	0.210536	 ns
*TAB'	33.516488	 +/- 	0.204374	 ns
*TBB'	8.921317	 +/- 	0.102120	 ns
*junk'	0.000000	 +/- 	0.000000	
*time per step (seconds)	60.000000
*Number of Samples	10
*comments	
1_49_A	1_49_B	1_49_A'	1_49_B'	1_49_AB	1_49_ABB'	1_49_AB'	1_49_BB'	1_49_TAB	1_49_TAB'	1_49_TBB'	1_49_junk
14184682.000	7870439.000	8719.000	8432465.000	71132.000	121.000	66486.000	9880.000	38.229	33.351	8.932	0.000
14186637.000	7872251.000	8750.000	8434606.000	70780.000	129.000	66660.000	9813.000	38.026	33.425	8.867	0.000
14178399.000	7873518.000	8952.000	8429725.000	71046.000	114.000	66776.000	9774.000	38.185	33.522	8.836	0.000
14186664.000	7872993.000	8755.000	8430395.000	71472.000	127.000	66618.000	9893.000	38.394	33.421	8.943	0.000
14187957.000	7872284.000	8721.000	8430619.000	71603.000	137.000	67436.000	10096.000	38.465	33.827	9.127	0.000
14186266.000	7867699.000	8863.000	8432457.000	71059.000	120.000	67123.000	9982.000	38.199	33.667	9.027	0.000
14178712.000	7874553.000	8713.000	8430693.000	71863.000	113.000	65955.000	9912.000	38.618	33.105	8.958	0.000
14169406.000	7874961.000	8641.000	8430397.000	71542.000	139.000	66814.000	9792.000	38.469	33.560	8.850	0.000
14165977.000	7865635.000	8810.000	8427608.000	71819.000	128.000	67074.000	9691.000	38.673	33.710	8.772	0.000
14175973.000	7877194.000	8869.000	8431965.000	71708.000	105.000	66893.000	9853.000	38.530	33.578	8.901	0.000
